mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_binarizer__threshold,param_classifier__alpha,param_classifier__fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.018812084197998048,0.007007474050996088,0.012360239028930664,0.0037531761867949736,0.5,0.01,True,"{'binarizer__threshold': 0.5, 'classifier__alpha': 0.01, 'classifier__fit_prior': True}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.015508365631103516,0.00655906387980018,0.008604621887207032,0.002699668060095795,0.5,0.01,False,"{'binarizer__threshold': 0.5, 'classifier__alpha': 0.01, 'classifier__fit_prior': False}",1.0,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9850014138722146,0.01401136637676029,4
0.014319133758544923,0.00489946135715397,0.007594156265258789,0.0008705723668291531,0.5,0.1,True,"{'binarizer__threshold': 0.5, 'classifier__alpha': 0.1, 'classifier__fit_prior': True}",0.9815691191737789,0.9812170342313002,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9663910445927147,0.013997608506981589,18
0.010875415802001954,0.0017907448694031586,0.009351301193237304,0.001520666259352401,0.5,0.1,False,"{'binarizer__threshold': 0.5, 'classifier__alpha': 0.1, 'classifier__fit_prior': False}",0.9815691191737789,0.9812170342313002,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9663910445927147,0.013997608506981589,18
0.011483240127563476,0.002499854046650905,0.007750368118286133,0.00104605592932663,0.5,0.5,True,"{'binarizer__threshold': 0.5, 'classifier__alpha': 0.5, 'classifier__fit_prior': True}",0.9815691191737789,0.9812170342313002,0.9440230677615495,0.9440230677615495,0.9255242627123332,0.9552713103281023,0.02237269810492947,24
0.011546897888183593,0.0016899707842237867,0.008080673217773438,0.0012131889175362608,0.5,0.5,False,"{'binarizer__threshold': 0.5, 'classifier__alpha': 0.5, 'classifier__fit_prior': False}",0.9815691191737789,0.9812170342313002,0.9440230677615495,0.9440230677615495,0.9255242627123332,0.9552713103281023,0.02237269810492947,24
0.013143968582153321,0.001855659305969694,0.009427881240844727,0.0020403689026907315,0.5,1.0,True,"{'binarizer__threshold': 0.5, 'classifier__alpha': 1.0, 'classifier__fit_prior': True}",0.9632836299502967,0.9440230677615495,0.9440230677615495,0.9440230677615495,0.9255242627123332,0.9441754191894557,0.011942018165181147,27
0.013232231140136719,0.0010405632743569631,0.009981679916381835,0.0011545047254271344,0.5,1.0,False,"{'binarizer__threshold': 0.5, 'classifier__alpha': 1.0, 'classifier__fit_prior': False}",0.9632836299502967,0.9255242627123332,0.9440230677615495,0.9440230677615495,0.9255242627123332,0.9404756581796125,0.01408872072698102,28
0.012599468231201172,0.0008726381600215916,0.00889592170715332,0.0009767646854990583,0.5,2.0,True,"{'binarizer__threshold': 0.5, 'classifier__alpha': 2.0, 'classifier__fit_prior': True}",0.9632836299502967,0.9255242627123332,0.9440230677615495,0.9440230677615495,0.8699249501595574,0.9293557956690573,0.03202518297545903,29
0.013887977600097657,0.0013681418822927651,0.010258913040161133,0.002329482130416487,0.5,2.0,False,"{'binarizer__threshold': 0.5, 'classifier__alpha': 2.0, 'classifier__fit_prior': False}",0.9632836299502967,0.9255242627123332,0.9255242627123332,0.9440230677615495,0.8699249501595574,0.925656034659214,0.03117425970114329,30
0.01508316993713379,0.0010198975730306096,0.010724353790283202,0.0013026701871220253,0.75,0.01,True,"{'binarizer__threshold': 0.75, 'classifier__alpha': 0.01, 'classifier__fit_prior': True}",1.0,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9850014138722146,0.01401136637676029,4
0.015187931060791016,0.002713582381985135,0.011218738555908204,0.0013223057427909932,0.75,0.01,False,"{'binarizer__threshold': 0.75, 'classifier__alpha': 0.01, 'classifier__fit_prior': False}",1.0,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9850014138722146,0.01401136637676029,4
0.015063953399658204,0.0013054520277333394,0.012064266204833984,0.0020990755293450905,0.75,0.1,True,"{'binarizer__threshold': 0.75, 'classifier__alpha': 0.1, 'classifier__fit_prior': True}",1.0,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9850014138722146,0.01401136637676029,4
0.016232967376708984,0.003323296519097937,0.010016155242919923,0.0012082392735462948,0.75,0.1,False,"{'binarizer__threshold': 0.75, 'classifier__alpha': 0.1, 'classifier__fit_prior': False}",1.0,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9850014138722146,0.01401136637676029,4
0.018198680877685548,0.0015697409967452688,0.011071586608886718,0.0014757185739096266,0.75,0.5,True,"{'binarizer__threshold': 0.75, 'classifier__alpha': 0.5, 'classifier__fit_prior': True}",1.0,0.9812170342313002,0.9625730008984726,1.0,0.9440230677615495,0.9775626205782645,0.021770700636715157,9
0.015909767150878905,0.002483642697697551,0.010733652114868163,0.001575383414587877,0.75,0.5,False,"{'binarizer__threshold': 0.75, 'classifier__alpha': 0.5, 'classifier__fit_prior': False}",1.0,0.9812170342313002,0.9625730008984726,1.0,0.9440230677615495,0.9775626205782645,0.021770700636715157,9
0.015168428421020508,0.0016092510700716953,0.010970592498779297,0.00229523393898672,0.75,1.0,True,"{'binarizer__threshold': 0.75, 'classifier__alpha': 1.0, 'classifier__fit_prior': True}",1.0,0.9812170342313002,0.9625730008984726,1.0,0.9440230677615495,0.9775626205782645,0.021770700636715157,9
0.017197465896606444,0.0011401965031460767,0.010472726821899415,0.0008398520752245005,0.75,1.0,False,"{'binarizer__threshold': 0.75, 'classifier__alpha': 1.0, 'classifier__fit_prior': False}",1.0,0.9812170342313002,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9738060274245246,0.019021965273263927,13
0.015836238861083984,0.000868408260484205,0.008652925491333008,0.0013205800250286784,0.75,2.0,True,"{'binarizer__threshold': 0.75, 'classifier__alpha': 2.0, 'classifier__fit_prior': True}",1.0,0.9812170342313002,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9738060274245246,0.019021965273263927,13
0.012949180603027344,0.0016701712175684897,0.007108116149902343,0.0003344492997677611,0.75,2.0,False,"{'binarizer__threshold': 0.75, 'classifier__alpha': 2.0, 'classifier__fit_prior': False}",1.0,0.9812170342313002,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9738060274245246,0.019021965273263927,13
