mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__fit_prior,param_discretizer__n_bins,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07026147842407227,0.007937564628734956,0.007334184646606445,0.00031774849697898164,0.1,False,15,"{'classifier__alpha': 0.1, 'classifier__fit_prior': False, 'discretizer__n_bins': 15}",1.0,0.9810309844103142,1.0,0.9625730008984726,0.9812170342313002,0.9849642039080175,0.014021610440011701,5
0.06482782363891601,0.009295153999917394,0.007560539245605469,0.0007506749017949755,0.5,True,5,"{'classifier__alpha': 0.5, 'classifier__fit_prior': True, 'discretizer__n_bins': 5}",0.9815691191737789,0.9810309844103142,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9663538346285175,0.013958339197525822,27
0.06203980445861816,0.008518316189996815,0.007645940780639649,0.0006370004863788485,0.5,True,10,"{'classifier__alpha': 0.5, 'classifier__fit_prior': True, 'discretizer__n_bins': 10}",1.0,0.9810309844103142,0.9812170342313002,0.9625730008984726,0.9812170342313002,0.9812076107542774,0.01183582656606649,11
0.06921706199645997,0.016221751659975366,0.007421255111694336,0.000337906102612998,0.5,True,15,"{'classifier__alpha': 0.5, 'classifier__fit_prior': True, 'discretizer__n_bins': 15}",1.0,0.9810309844103142,0.9812170342313002,0.9625730008984726,0.9625730008984726,0.9774788040877119,0.013986869216540552,15
0.061083316802978516,0.011561462810731359,0.007378053665161133,0.0002891418170101549,0.5,False,5,"{'classifier__alpha': 0.5, 'classifier__fit_prior': False, 'discretizer__n_bins': 5}",0.9815691191737789,1.0,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9701476377464546,0.019072793050654274,20
0.06603264808654785,0.011269229495565518,0.007279157638549805,0.0003530000393871221,0.5,False,10,"{'classifier__alpha': 0.5, 'classifier__fit_prior': False, 'discretizer__n_bins': 10}",1.0,0.9810309844103142,0.9812170342313002,0.9625730008984726,0.9812170342313002,0.9812076107542774,0.01183582656606649,11
0.06619887351989746,0.017905681441624317,0.007507228851318359,0.0002736802954363156,0.5,False,15,"{'classifier__alpha': 0.5, 'classifier__fit_prior': False, 'discretizer__n_bins': 15}",1.0,0.9810309844103142,0.9812170342313002,0.9625730008984726,0.9625730008984726,0.9774788040877119,0.013986869216540552,15
0.05446944236755371,0.012451143096733962,0.0072382926940917965,0.000193348007111818,1.0,True,5,"{'classifier__alpha': 1.0, 'classifier__fit_prior': True, 'discretizer__n_bins': 5}",0.9815691191737789,0.9810309844103142,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9663538346285175,0.013958339197525822,27
0.07288661003112792,0.006683372771795082,0.007380771636962891,0.00030976354031630625,1.0,True,10,"{'classifier__alpha': 1.0, 'classifier__fit_prior': True, 'discretizer__n_bins': 10}",1.0,0.9810309844103142,0.9625730008984726,0.9625730008984726,0.9625730008984726,0.9737499974211465,0.014945575671280353,18
0.07481980323791504,0.01494719573328384,0.00781402587890625,0.0011234905747047968,1.0,True,15,"{'classifier__alpha': 1.0, 'classifier__fit_prior': True, 'discretizer__n_bins': 15}",1.0,0.9810309844103142,0.9812170342313002,0.9625730008984726,0.9625730008984726,0.9774788040877119,0.013986869216540552,15
0.05819368362426758,0.009308585896978435,0.0076960563659667965,0.000759947028342781,1.0,False,5,"{'classifier__alpha': 1.0, 'classifier__fit_prior': False, 'discretizer__n_bins': 5}",0.9815691191737789,1.0,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9701476377464546,0.019072793050654274,20
0.07909092903137208,0.004256299059907223,0.007591342926025391,0.0006106061255552349,1.0,False,10,"{'classifier__alpha': 1.0, 'classifier__fit_prior': False, 'discretizer__n_bins': 10}",1.0,0.9810309844103142,0.9625730008984726,0.9625730008984726,0.9625730008984726,0.9737499974211465,0.014945575671280353,18
0.06334233283996582,0.014315400979182647,0.008135461807250976,0.0011671492733546416,1.0,False,15,"{'classifier__alpha': 1.0, 'classifier__fit_prior': False, 'discretizer__n_bins': 15}",1.0,0.9810309844103142,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9700400107937618,0.019009451610037212,22
0.07480731010437011,0.011673367085596704,0.007695674896240234,0.0005932813402807111,2.0,True,5,"{'classifier__alpha': 2.0, 'classifier__fit_prior': True, 'discretizer__n_bins': 5}",0.9632836299502967,0.9810309844103142,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9626967367838211,0.011706627315417663,29
0.08202128410339356,0.024913972048946572,0.008990907669067382,0.0012058320772405566,2.0,True,10,"{'classifier__alpha': 2.0, 'classifier__fit_prior': True, 'discretizer__n_bins': 10}",1.0,0.9810309844103142,0.9625730008984726,0.9625730008984726,0.9440230677615495,0.9700400107937618,0.019009451610037212,22
0.07447476387023926,0.014854744304101329,0.007844495773315429,0.00037121830648035334,2.0,True,15,"{'classifier__alpha': 2.0, 'classifier__fit_prior': True, 'discretizer__n_bins': 15}",1.0,0.9810309844103142,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9700400107937618,0.019009451610037212,22
0.0576629638671875,0.010816836872088962,0.00788130760192871,0.0006405355445255522,2.0,False,5,"{'classifier__alpha': 2.0, 'classifier__fit_prior': False, 'discretizer__n_bins': 5}",0.9632836299502967,1.0,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9664905399017583,0.018268276960720854,26
0.06185736656188965,0.00694589300121393,0.007754182815551758,0.0008146690854521145,2.0,False,10,"{'classifier__alpha': 2.0, 'classifier__fit_prior': False, 'discretizer__n_bins': 10}",0.9815691191737789,0.9810309844103142,0.9625730008984726,0.9440230677615495,0.9440230677615495,0.962643848001133,0.016671680221631516,30
0.04934425354003906,0.005721106242273818,0.00766448974609375,0.0007470649987075416,2.0,False,15,"{'classifier__alpha': 2.0, 'classifier__fit_prior': False, 'discretizer__n_bins': 15}",1.0,0.9810309844103142,0.9625730008984726,0.9440230677615495,0.9625730008984726,0.9700400107937618,0.019009451610037212,22
