mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.43791723251342773,0.031876624536706505,0.02648129463195801,0.005488667511609485,gini,20,log2,100,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100}",1.0,0.9810309844103142,1.0,0.9812170342313002,0.9810309844103142,0.9886558006103858,0.00926274914909184,1
0.7771078586578369,0.039283311604357524,0.043197107315063474,0.01449705761139383,gini,20,log2,200,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 200}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.5466337203979492,0.059836042072066865,0.022403526306152343,0.008597211301209507,gini,20,,100,"{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'n_estimators': 100}",0.9447073575213365,0.9622641509433962,1.0,0.9067051129359159,0.9810309844103142,0.9589415211621926,0.031987612285585276,49
1.1106523036956788,0.0875150490777398,0.041642045974731444,0.012400788106323165,gini,20,,200,"{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'n_estimators': 200}",0.9447073575213365,0.9622641509433962,1.0,0.9067051129359159,0.9810309844103142,0.9589415211621926,0.031987612285585276,49
0.49542851448059083,0.022064562834857616,0.03631711006164551,0.00534080017633342,entropy,,sqrt,100,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.9428874492645264,0.1037993510546203,0.03814597129821777,0.014878475625238282,entropy,,sqrt,200,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.9813782567405757,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9811376488405639,0.00014023273786951243,28
0.44762473106384276,0.06695879759982096,0.026022863388061524,0.010773895035177299,entropy,,log2,100,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",1.0,0.9810309844103142,1.0,0.9812170342313002,0.9810309844103142,0.9886558006103858,0.00926274914909184,1
0.89906907081604,0.048769157513904315,0.05393128395080567,0.011210376231847985,entropy,,log2,200,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 200}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.6006962299346924,0.0552811249327324,0.03261656761169433,0.00858130804305808,entropy,,,100,"{'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'n_estimators': 100}",0.9447073575213365,0.9622641509433962,0.9810309844103142,0.9622641509433962,0.9810309844103142,0.9662595256457515,0.01365879919285619,37
1.1750042915344239,0.10540500579459335,0.04284071922302246,0.0131544220210174,entropy,,,200,"{'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'n_estimators': 200}",0.9447073575213365,0.9622641509433962,0.9810309844103142,0.9622641509433962,0.9810309844103142,0.9662595256457515,0.01365879919285619,37
0.4519327640533447,0.05202949200740519,0.02913527488708496,0.008672378444977103,entropy,10,sqrt,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.9643072128295899,0.03926243335336337,0.03465018272399902,0.009577286577110057,entropy,10,sqrt,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.9813782567405757,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9811376488405639,0.00014023273786951243,28
0.47049918174743655,0.07797590136544665,0.03382320404052734,0.004265222096516665,entropy,10,log2,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",1.0,0.9810309844103142,1.0,0.9812170342313002,0.9810309844103142,0.9886558006103858,0.00926274914909184,1
0.9339797019958496,0.08304303227685415,0.046535682678222653,0.007975902718691735,entropy,10,log2,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.6098188400268555,0.05770417577669295,0.03056817054748535,0.008744426490601944,entropy,10,,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'n_estimators': 100}",0.9447073575213365,0.9622641509433962,0.9810309844103142,0.9622641509433962,0.9810309844103142,0.9662595256457515,0.01365879919285619,37
1.12347412109375,0.10152765719549034,0.04099197387695312,0.006130289113775158,entropy,10,,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'n_estimators': 200}",0.9447073575213365,0.9622641509433962,0.9810309844103142,0.9622641509433962,0.9810309844103142,0.9662595256457515,0.01365879919285619,37
0.4808485984802246,0.06392020720803725,0.03569097518920898,0.0033041435690922515,entropy,20,sqrt,100,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.8966466426849365,0.08779302058694338,0.037049293518066406,0.008974598234409081,entropy,20,sqrt,200,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 200}",0.9813782567405757,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9811376488405639,0.00014023273786951243,28
0.4589451789855957,0.04176261104983069,0.027004194259643555,0.007604990432250632,entropy,20,log2,100,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100}",1.0,0.9810309844103142,1.0,0.9812170342313002,0.9810309844103142,0.9886558006103858,0.00926274914909184,1
0.8986218929290771,0.01747844038813006,0.049288177490234376,0.00770220998850448,entropy,20,log2,200,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 200}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
